country,dir,time,number
Afghanistan,Export,6/1/2020,310.522667
Afghanistan,Export,7/1/2020,429.240615
Afghanistan,Export,8/1/2020,325.10807
Afghanistan,Export,9/1/2020,310.433092
Afghanistan,Export,10/1/2020,304.36321
Afghanistan,Export,11/1/2020,320.118941
Afghanistan,Export,12/1/2020,298.181087
Afghanistan,Export,1/1/2021,317.77973
Afghanistan,Export,2/1/2021,262.9637
Afghanistan,Export,3/1/2021,283.859613
Bahrain,Export,6/1/2020,634.599198
Bahrain,Export,7/1/2020,633.466032
Bahrain,Export,8/1/2020,644.61246
Bahrain,Export,9/1/2020,581.64808
Bahrain,Export,10/1/2020,547.653498
Bahrain,Export,11/1/2020,571.698767
Bahrain,Export,12/1/2020,697.089982
Bahrain,Export,1/1/2021,864.993657
Bahrain,Export,2/1/2021,539.690183
Bahrain,Export,3/1/2021,683.389661
Bangladesh,Export,6/1/2020,6892.639493
Bangladesh,Export,7/1/2020,8314.429798
Bangladesh,Export,8/1/2020,8482.609246
Bangladesh,Export,9/1/2020,9434.179039
Bangladesh,Export,10/1/2020,9093.933181
Bangladesh,Export,11/1/2020,10873.84658
Bangladesh,Export,12/1/2020,11943.70093
Bangladesh,Export,1/1/2021,11515.46138
Bangladesh,Export,2/1/2021,9639.091149
Bangladesh,Export,3/1/2021,9739.201446
Bhutan,Export,6/1/2020,6.375361
Bhutan,Export,7/1/2020,9.632358
Bhutan,Export,8/1/2020,6.554502
Bhutan,Export,9/1/2020,8.079115
Bhutan,Export,10/1/2020,5.445936
Bhutan,Export,11/1/2020,6.845056
Bhutan,Export,12/1/2020,4.450514
Bhutan,Export,1/1/2021,47.690814
Bhutan,Export,2/1/2021,26.451969
Bhutan,Export,3/1/2021,110.125946
Brunei,Export,6/1/2020,219.545013
Brunei,Export,7/1/2020,275.109752
Brunei,Export,8/1/2020,241.041625
Brunei,Export,9/1/2020,222.083578
Brunei,Export,10/1/2020,272.494051
Brunei,Export,11/1/2020,236.075775
Brunei,Export,12/1/2020,324.217245
Brunei,Export,1/1/2021,301.431751
Brunei,Export,2/1/2021,182.123998
Brunei,Export,3/1/2021,265.216838
Myanmar,Export,6/1/2020,7262.049034
Myanmar,Export,7/1/2020,7907.370233
Myanmar,Export,8/1/2020,7492.219208
Myanmar,Export,9/1/2020,6868.033376
Myanmar,Export,10/1/2020,6512.744472
Myanmar,Export,11/1/2020,8351.580653
Myanmar,Export,12/1/2020,10496.33359
Myanmar,Export,1/1/2021,11144.19806
Myanmar,Export,2/1/2021,5207.652168
Myanmar,Export,3/1/2021,4118.876984
Cambodia,Export,6/1/2020,4675.763176
Cambodia,Export,7/1/2020,5160.113994
Cambodia,Export,8/1/2020,4777.320218
Cambodia,Export,9/1/2020,4691.051412
Cambodia,Export,10/1/2020,4602.905182
Cambodia,Export,11/1/2020,4951.763696
Cambodia,Export,12/1/2020,6220.817251
Cambodia,Export,1/1/2021,5690.560507
Cambodia,Export,2/1/2021,3780.055777
Cambodia,Export,3/1/2021,4738.169122
Cyprus,Export,6/1/2020,268.628847
Cyprus,Export,7/1/2020,327.013843
Cyprus,Export,8/1/2020,337.794152
Cyprus,Export,9/1/2020,1046.739104
Cyprus,Export,10/1/2020,325.048887
Cyprus,Export,11/1/2020,305.031925
Cyprus,Export,12/1/2020,926.679059
Cyprus,Export,1/1/2021,314.429563
Cyprus,Export,2/1/2021,212.771918
Cyprus,Export,3/1/2021,249.308197
North Korea,Export,6/1/2020,621.368343
North Korea,Export,7/1/2020,466.815785
North Korea,Export,8/1/2020,135.298537
North Korea,Export,9/1/2020,131.455629
North Korea,Export,10/1/2020,1.742745
North Korea,Export,11/1/2020,1.02276
North Korea,Export,12/1/2020,22.213757
North Korea,Export,1/1/2021,0.192102
North Korea,Export,2/1/2021,0.02205
North Korea,Export,3/1/2021,83.635024
Hong Kong SAR (China),Export,6/1/2020,0.00001
Hong Kong SAR (China),Export,7/1/2020,174032.7577
Hong Kong SAR (China),Export,8/1/2020,160575.6625
Hong Kong SAR (China),Export,9/1/2020,175583.3915
Hong Kong SAR (China),Export,10/1/2020,170439.8704
Hong Kong SAR (China),Export,11/1/2020,200173.8661
Hong Kong SAR (China),Export,12/1/2020,225703.7319
Hong Kong SAR (China),Export,1/1/2021,176424.4412
Hong Kong SAR (China),Export,2/1/2021,119186.8806
Hong Kong SAR (China),Export,3/1/2021,180246.6293
India,Export,6/1/2020,0.00001
India,Export,7/1/2020,39700.64894
India,Export,8/1/2020,43529.68965
India,Export,9/1/2020,46422.60053
India,Export,10/1/2020,46042.14753
India,Export,11/1/2020,47888.06064
India,Export,12/1/2020,50954.44329
India,Export,1/1/2021,50593.05007
India,Export,2/1/2021,42199.99186
India,Export,3/1/2021,44629.98515
Indonesia,Export,6/1/2020,0.00001
Indonesia,Export,7/1/2020,25613.86244
Indonesia,Export,8/1/2020,24213.32776
Indonesia,Export,9/1/2020,25552.33086
Indonesia,Export,10/1/2020,22784.88556
Indonesia,Export,11/1/2020,26402.26792
Indonesia,Export,12/1/2020,31373.33494
Indonesia,Export,1/1/2021,30145.92943
Indonesia,Export,2/1/2021,22796.90152
Indonesia,Export,3/1/2021,29468.25575
Iran,Export,6/1/2020,3994.391041
Iran,Export,7/1/2020,6212.317736
Iran,Export,8/1/2020,5789.659785
Iran,Export,9/1/2020,4620.692858
Iran,Export,10/1/2020,4290.867725
Iran,Export,11/1/2020,4105.774734
Iran,Export,12/1/2020,4344.877293
Iran,Export,1/1/2021,4872.376968
Iran,Export,2/1/2021,3805.696067
Iran,Export,3/1/2021,2956.748372
Iraq,Export,6/1/2020,7409.111285
Iraq,Export,7/1/2020,6499.47406
Iraq,Export,8/1/2020,6653.227328
Iraq,Export,9/1/2020,7332.968778
Iraq,Export,10/1/2020,6102.714347
Iraq,Export,11/1/2020,6729.067974
Iraq,Export,12/1/2020,8422.034943
Iraq,Export,1/1/2021,7193.924509
Iraq,Export,2/1/2021,3294.530822
Iraq,Export,3/1/2021,3404.558899
Israel,Export,6/1/2020,7211.143341
Israel,Export,7/1/2020,7798.973339
Israel,Export,8/1/2020,6123.322712
Israel,Export,9/1/2020,7420.09351
Israel,Export,10/1/2020,6358.24598
Israel,Export,11/1/2020,7434.846017
Israel,Export,12/1/2020,8043.643286
Israel,Export,1/1/2021,8421.769848
Israel,Export,2/1/2021,6800.320562
Israel,Export,3/1/2021,6040.048219
Japan,Export,6/1/2020,0.00001
Japan,Export,7/1/2020,83949.25346
Japan,Export,8/1/2020,81584.35792
Japan,Export,9/1/2020,86619.16937
Japan,Export,10/1/2020,83831.57837
Japan,Export,11/1/2020,91261.62059
Japan,Export,12/1/2020,88573.0468
Japan,Export,1/1/2021,91352.24987
Japan,Export,2/1/2021,72968.54553
Japan,Export,3/1/2021,87444.73576
Jordan,Export,6/1/2020,2357.615069
Jordan,Export,7/1/2020,2136.631493
Jordan,Export,8/1/2020,2174.280616
Jordan,Export,9/1/2020,1981.856267
Jordan,Export,10/1/2020,2009.813528
Jordan,Export,11/1/2020,1860.676231
Jordan,Export,12/1/2020,1785.557796
Jordan,Export,1/1/2021,2236.500801
Jordan,Export,2/1/2021,1738.510627
Jordan,Export,3/1/2021,1471.522378
Kuwait,Export,6/1/2020,2576.162288
Kuwait,Export,7/1/2020,2045.838709
Kuwait,Export,8/1/2020,1871.459739
Kuwait,Export,9/1/2020,2073.445387
Kuwait,Export,10/1/2020,1993.535506
Kuwait,Export,11/1/2020,2403.101541
Kuwait,Export,12/1/2020,2757.780193
Kuwait,Export,1/1/2021,2774.245679
Kuwait,Export,2/1/2021,1967.646879
Kuwait,Export,3/1/2021,1583.477212
Laos,Export,6/1/2020,1024.57096
Laos,Export,7/1/2020,984.483879
Laos,Export,8/1/2020,997.977354
Laos,Export,9/1/2020,897.106989
Laos,Export,10/1/2020,902.83432
Laos,Export,11/1/2020,914.352386
Laos,Export,12/1/2020,1024.005994
Laos,Export,1/1/2021,1364.562728
Laos,Export,2/1/2021,618.112297
Laos,Export,3/1/2021,864.804797
Lebanon,Export,6/1/2020,604.980602
Lebanon,Export,7/1/2020,512.182761
Lebanon,Export,8/1/2020,402.89764
Lebanon,Export,9/1/2020,522.981479
Lebanon,Export,10/1/2020,506.516548
Lebanon,Export,11/1/2020,799.943333
Lebanon,Export,12/1/2020,897.774129
Lebanon,Export,1/1/2021,860.123456
Lebanon,Export,2/1/2021,728.402218
Lebanon,Export,3/1/2021,537.524007
Macau SAR (China),Export,6/1/2020,1298.770252
Macau SAR (China),Export,7/1/2020,1526.129677
Macau SAR (China),Export,8/1/2020,1458.630934
Macau SAR (China),Export,9/1/2020,1435.198449
Macau SAR (China),Export,10/1/2020,1273.170865
Macau SAR (China),Export,11/1/2020,1266.317895
Macau SAR (China),Export,12/1/2020,1598.910308
Macau SAR (China),Export,1/1/2021,1358.780543
Macau SAR (China),Export,2/1/2021,983.778524
Macau SAR (China),Export,3/1/2021,1071.743078
Malaysia,Export,6/1/2020,0.00001
Malaysia,Export,7/1/2020,36996.97322
Malaysia,Export,8/1/2020,36385.5706
Malaysia,Export,9/1/2020,35121.29728
Malaysia,Export,10/1/2020,37127.86819
Malaysia,Export,11/1/2020,40632.666
Malaysia,Export,12/1/2020,46630.39198
Malaysia,Export,1/1/2021,37760.58724
Malaysia,Export,2/1/2021,25829.49658
Malaysia,Export,3/1/2021,37047.4786
Maldives,Export,6/1/2020,134.948737
Maldives,Export,7/1/2020,205.742786
Maldives,Export,8/1/2020,201.616467
Maldives,Export,9/1/2020,150.2976
