country,dir,time,number
Afghanistan,Export,Mean,316.2570725
Bahrain,Export,Mean,639.8841518
Bangladesh,Export,Mean,9592.909224
Bhutan,Export,Mean,23.1651571
Brunei,Export,Mean,253.9339626
Myanmar,Export,Mean,7536.105778
Cambodia,Export,Mean,4928.852034
Cyprus,Export,Mean,431.3445495
North Korea,Export,Mean,146.3766732
Hong Kong SAR (China),Export,Mean,175935.7231
India,Export,Mean,46270.06177
Indonesia,Export,Mean,27081.10962
Iran,Export,Mean,4499.340258
Iraq,Export,Mean,6304.161295
Israel,Export,Mean,7165.240681
Japan,Export,Mean,85666.45577
Jordan,Export,Mean,1975.296481
Kuwait,Export,Mean,2204.669313
Laos,Export,Mean,959.2811704
Lebanon,Export,Mean,637.3326173
Macau SAR (China),Export,Mean,1327.143053
Malaysia,Export,Mean,37405.23297
Maldives,Export,Mean,171.0759538
Mongolia,Export,Mean,1103.111978
Nepal,Export,Mean,787.6836541
Oman,Export,Mean,2024.091734
Pakistan,Export,Mean,9801.777498
Palestine,Export,Mean,61.9761275
Philippines,Export,Mean,28075.77206
Qatar,Export,Mean,1680.895449
Saudi Arabia,Export,Mean,17096.44335
Singapore,Export,Mean,32778.2224
South Korea,Export,Mean,70369.13108
Sri Lanka,Export,Mean,2470.111124
Syrian Arab Rep.,Export,Mean,413.1974688
Thailand,Export,Mean,32654.48813
Turkey,Export,Mean,12902.5053
United Arab Emirates,Export,Mean,20142.68998
Yemen,Export,Mean,1567.574597
Vietnam,Export,Mean,74829.92852
Taiwan,Export,Mean,37880.64785
East Timor,Export,Mean,126.5646407
Kazakhstan,Export,Mean,7910.899552
Kyrgyzstan,Export,Mean,1707.229165
Tajikistan,Export,Mean,605.5656112
Turkmenistan,Export,Mean,291.0656564
Uzbekistan,Export,Mean,3225.330151
Other,Export,Mean,0.3052653
Algeria,Export,Mean,3390.26309
Angola,Export,Mean,1129.742443
Benin,Export,Mean,605.2194947
Botswana,Export,Mean,149.3123772
Burundi,Export,Mean,53.0226607
Cameroon,Export,Mean,1243.019743
Canary Islands,Export,Mean,0.865038
Cabo Verde,Export,Mean,40.7633845
Central African Republic,Export,Mean,15.9293938
Ceuta,Export,Mean,0.2271273
Chad,Export,Mean,145.1306421
Comoros,Export,Mean,33.4768634
Republic of Congo,Export,Mean,396.5269826
Djibouti,Export,Mean,1488.910615
Egypt,Export,Mean,8399.7728
Eq. Guinea,Export,Mean,76.8489665
Ethiopia,Export,Mean,1296.065455
Gabon,Export,Mean,257.845101
Gambia,Export,Mean,316.2648657
Ghana,Export,Mean,4307.083114
Guinea,Export,Mean,1147.461019
Guinea Bissau,Export,Mean,30.3277531
Cote d'Ivoire,Export,Mean,1507.982552
Kenya,Export,Mean,3447.933788
Liberia,Export,Mean,1964.318142
Libyan,Export,Mean,1035.995791
Madagascar,Export,Mean,586.5686811
Malawi,Export,Mean,136.0621983
Mali,Export,Mean,291.1366934
Mauritania,Export,Mean,448.8413685
Mauritius,Export,Mean,438.2175888
Morocco,Export,Mean,2547.087679
Mozambique,Export,Mean,1250.650418
Namibia,Export,Mean,146.9247889
Niger,Export,Mean,135.052956
Nigeria,Export,Mean,10720.73314
Reunion,Export,Mean,125.2782013
Rwanda,Export,Mean,179.6014045
Sao Tome & Principe,Export,Mean,13.7832958
Senegal,Export,Mean,1628.554203
Seychelles,Export,Mean,31.0168658
Sierra Leone,Export,Mean,237.2154104
Somalia,Export,Mean,558.6130624
South Africa,Export,Mean,10073.64355
Western Sahara,Export,Mean,0.2494023
Sudan,Export,Mean,1378.017186
Tanzania,Export,Mean,2647.911574
Togo,Export,Mean,1568.457396
Tunisia,Export,Mean,924.7578192
Uganda,Export,Mean,503.0862549
Burkina Faso,Export,Mean,199.6055502
Democratic of Congo,Export,Mean,1335.556599
Zambia,Export,Mean,368.1921667
Zimbabwe,Export,Mean,381.1137852
Lesotho,Export,Mean,39.9189618
Melilla,Export,Mean,0.220555
Swaziland,Export,Mean,26.3936535
Eritrea,Export,Mean,36.7254995
Mayotte,Export,Mean,36.5965316
South Sudan,Export,Mean,101.4165361
Other,Export,Mean,1.7685455
Belgium,Export,Mean,13543.38195
Denmark,Export,Mean,4727.165879
United Kingdom,Export,Mean,48370.5107
Germany,Export,Mean,55188.43148
France,Export,Mean,22946.50373
Ireland,Export,Mean,2530.346302
Italy,Export,Mean,20555.8488
Luxembourg,Export,Mean,685.2428416
Netherlands,Export,Mean,50471.1838
Greece,Export,Mean,4536.480764
Portugal,Export,Mean,2535.05388
Spain,Export,Mean,17147.29401
Albania,Export,Mean,333.3827967
Andorra,Export,Mean,1.7004808
Austria,Export,Mean,2158.257715
Bulgaria,Export,Mean,950.1034727
Finland,Export,Mean,1747.282497
Gibraltar,Export,Mean,1.8657787
Hungary,Export,Mean,4734.787752
Iceland,Export,Mean,62.1425306
Liechtenstein,Export,Mean,28.9024646
Malta,Export,Mean,857.8085518
Monaco,Export,Mean,13.662582
Norway,Export,Mean,2241.461181
Poland,Export,Mean,17885.11628
Romania,Export,Mean,3172.245998
San Marino,Export,Mean,3.9526189
Sweden,Export,Mean,5249.559258
