北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,地区
114.4,185.4,3518.4,825.3,1863.3,2178.0,1287.3,3183.2,107.1,4297.2,2086.7,2916.0,2595.5,2057.7,5117.0,4635.7,3809.4,3647.2,4350.6,3389.7,1079.0,1551.6,4807.5,2280.6,3037.7,138.2,1991.1,1059.3,301.9,280.0,1781.8,2020年
120.6,175.3,3338.6,740.8,1750.7,2020.6,1160.7,3001.2,104.8,4141.7,1975.9,2638.0,2379.0,1877.3,4950.5,4311.1,3548.2,3084.2,3836.4,3021.1,986.0,1378.7,4427.4,2156.0,2498.7,128.3,1830.2,926.1,268.1,279.4,1692.1,2019年
121.9,169.0,3130.0,719.2,1649.8,1902.3,1095.4,2965.3,110.8,4045.2,1933.9,2582.3,2215.1,1835.3,4832.7,4139.3,3529.0,2998.4,3611.4,2878.3,962.8,1276.1,4262.5,2032.3,2338.4,118.2,1741.1,859.8,238.4,250.6,1551.8,2018年
129.8,168.5,3082.5,724.3,1650.6,1841.2,1130.1,2751.2,114.3,4039.8,1890.4,2489.8,2145.1,1794.1,4830.3,4063.6,3406.5,2915.6,3500.5,2800.3,924.7,1237.0,3900.6,1861.8,2225.5,110.5,1696.1,800.8,221.2,241.0,1473.2,2017年
140.4,162.3,3100.5,726.2,1630.2,2053.7,1270.6,2712.2,125.5,3952.5,1771.4,2376.1,1932.8,1714.5,4902.8,4015.6,3109.9,2747.9,3189.8,2565.5,835.4,1067.7,3661.0,1642.0,2079.3,93.6,1599.7,733.4,208.9,236.8,1409.7,2016年
159.2,158.8,3164.7,736.6,1638.0,2002.0,1270.2,2691.0,132.0,3607.4,1726.6,2295.0,1855.9,1626.9,4662.8,3988.2,3001.6,2671.0,3038.7,2413.4,793.2,990.8,3524.7,1281.5,2007.4,88.1,1566.9,695.8,215.9,216.9,1406.7,2015年
159.8,154.8,3141.9,697.6,1582.9,1973.4,1250.2,2539.6,131.6,3447.5,1718.7,2173.2,1745.2,1540.7,4454.1,3827.2,2883.7,2589.2,2876.4,2290.6,723.6,941.2,3257.4,999.3,1878.5,81.2,1463.5,658.1,204.7,210.7,1326.6,2014年
148.4,147.9,2914.0,642.0,1453.2,1869.3,1195.6,2119.6,129.3,3241.4,1610.8,2018.6,1628.9,1439.1,4047.1,3577.2,2674.8,2567.9,2711.3,2126.4,683.9,879.7,3142.6,862.7,1640.4,75.3,1314.8,590.9,174.2,189.0,1204.1,2013年
134.5,141.1,2702.8,586.6,1309.7,1693.4,1105.9,1695.5,126.4,2908.8,1535.2,1868.0,1492.2,1320.5,3768.6,3349.3,2469.2,2420.0,2553.2,2006.4,636.6,794.1,2854.6,699.6,1396.6,69.8,1187.4,525.6,152.6,175.0,1047.2,2012年
122.8,131.7,2473.1,510.4,1097.8,1468.9,928.4,1291.8,114.5,2409.2,1322.9,1600.6,1269.9,1147.6,3411.3,3127.1,2043.2,2073.2,2199.6,1639.7,521.9,649.5,2384.9,602.8,1090.3,64.8,946.7,472.6,132.6,151.4,1000.3,2011年
116.8,119.5,2121.8,443.5,934.9,1297.3,888.6,1141.9,112.4,2143.6,1134.7,1382.7,1108.8,1062.1,3076.2,2665.7,1717.3,1795.8,1946.0,1425.5,448.1,581.1,2160.4,531.2,1049.7,60.5,751.6,418.4,105.3,120.4,704.9,2010年
111.4,116.6,1956.8,373.6,902.9,1215.7,863.6,1073.8,109.4,1988.2,1073.3,1313.1,1096.1,1014.5,2876.2,2575.8,1716.0,1761.8,1920.8,1422.3,423.6,555.1,2139.0,522.6,1001.9,57.6,717.5,391.2,103.6,112.9,646.9,2009年
99.4,107.5,1737.1,303.5,762.6,1077.3,755.2,892.4,99.4,1715.6,969.3,1116.3,951.2,868.6,2451.0,2156.7,1331.4,1563.8,1663.5,1214.9,351.3,469.4,1966.5,430.6,849.6,52.3,560.7,365.9,81.6,92.9,593.3,2008年
87.2,103.4,1401.8,256.4,634.9,908.6,640.2,731.8,91.6,1468.3,913.2,1011.0,828.8,775.1,2098.3,1869.8,1125.5,1244.6,1494.7,1024.3,310.7,379.7,1614.0,367.2,704.5,47.6,466.2,329.8,65.8,76.8,502.5,2007年
86.9,112.4,1345.2,247.8,589.6,854.4,618.7,674.6,88.1,1390.2,881.5,966.5,792.5,717.7,1928.2,1844.0,1069.8,1078.3,1395.2,904.8,289.9,455.1,1403.2,362.5,646.3,44.9,418.6,304.3,62.8,69.8,485.6,2006年
85.4,105.3,1333.6,262.9,522.8,774.4,562.3,580.9,81.4,1300.4,803.8,950.5,762.9,664.5,1748.2,1647.6,1008.9,1022.5,1219.8,810.1,272.0,420.4,1329.1,335.1,607.8,42.1,356.7,283.3,58.1,65.3,439.2,2005年
84.1,89.9,1064.2,215.2,420.1,598.1,486.7,493.0,79.0,1162.5,717.9,749.4,682.1,551.5,1457.0,1198.7,798.4,869.7,1072.9,659.6,244.3,332.9,1128.6,290.9,494.6,39.6,302.7,238.0,46.0,55.6,393.1,2004年
82.4,84.2,957.0,197.8,374.7,574.1,441.6,464.2,77.7,1110.4,685.2,783.7,659.5,536.0,1369.2,1207.1,707.0,847.3,1015.1,602.0,222.9,312.6,1048.0,280.8,463.4,38.7,282.2,215.5,45.3,53.0,290.4,2003年
80.8,78.7,913.9,171.1,358.9,530.7,405.3,426.6,76.1,1094.5,659.8,760.8,624.2,506.0,1340.5,1195.4,692.2,825.7,988.8,576.3,196.8,290.1,981.7,274.2,444.4,36.5,263.6,208.0,44.7,49.7,274.3,2002年
