北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,地区
29663.4,8922.9,18066.5,8670.0,8586.1,13201.4,6304.7,6721.1,27686.9,50852.1,34075.8,18959.5,19665.6,11789.3,37251.7,26046.5,22896.5,20845.2,60268.1,10801.0,3168.1,12662.2,24368.3,8517.3,12125.7,924.0,12022.6,4796.6,1485.3,1881.4,7030.9,2020年
27508.1,8352.3,16252.0,8142.9,8054.7,12441.0,6041.6,6309.3,25546.3,46936.5,30718.8,17278.5,17461.0,10758.0,34174.7,23586.2,20899.9,19341.4,54710.4,9913.9,2871.6,11367.9,22417.7,7691.0,11114.5,837.3,10896.4,4416.4,1386.2,1742.7,6460.1,2019年
24711.7,7717.5,14732.8,7129.8,7374.0,11461.8,5831.2,5828.2,23288.3,42700.5,27222.5,14412.7,15337.3,8930.9,31253.8,19745.3,17992.2,17369.9,49500.7,8774.1,2538.4,10335.2,19073.5,6602.3,9829.8,761.2,9618.3,3961.2,1251.0,1543.7,5511.9,2018年
22245.7,6940.8,13059.3,6108.5,6558.9,10685.6,5395.5,5454.0,21202.4,38269.6,23792.4,12300.5,12780.6,7862.0,28367.2,17198.8,15419.5,14995.9,43163.5,7695.3,2261.5,9020.7,15787.8,5461.8,8396.1,672.1,8443.2,3623.7,1169.3,1360.7,4711.6,2017年
20218.9,6227.6,11778.4,5890.5,6049.2,9811.9,4909.6,5050.9,18352.8,33931.7,21129.8,10616.8,11150.9,6698.8,25571.1,15120.7,13664.6,13125.0,37628.9,6841.4,2016.0,7764.8,13488.6,4872.3,7389.0,607.6,7634.5,3317.8,1041.0,1225.8,4451.2,2016年
18333.9,5866.3,10567.3,4980.1,5405.8,8984.9,4891.5,4607.4,16504.5,30174.3,18716.2,9242.1,9921.2,5802.3,22524.0,13446.9,12232.6,11385.2,33204.0,6028.8,1829.3,6858.5,12283.9,4309.3,6657.7,541.3,6790.6,2999.4,917.0,1143.4,4028.5,2015年
16806.5,5383.6,9939.3,4605.3,4939.4,8031.2,4605.5,4106.9,14786.0,26752.5,17453.1,8177.4,8953.2,5097.7,20274.3,11809.9,10648.0,10042.3,30284.0,5448.4,1641.4,6097.7,10841.7,3802.7,5946.5,476.2,6023.9,2682.4,827.6,1057.5,3586.2,2014年
15020.3,4761.1,9243.8,4188.4,4463.3,7092.4,4167.2,3796.5,13002.1,23309.8,15731.1,7075.2,8034.8,4475.2,17634.4,10342.2,8763.5,8712.7,26950.3,4674.1,1358.3,5407.6,9548.8,3162.8,4998.6,408.8,5215.3,2308.9,734.1,949.5,2881.9,2013年
13491.0,4215.2,8406.4,3557.7,4104.4,6182.9,3697.4,3323.2,11713.9,20699.2,14048.6,6227.8,7109.0,3926.0,15370.3,8947.8,7707.1,7611.4,24358.5,4052.3,1155.9,4795.8,8181.9,2657.1,4315.1,346.1,4503.4,2002.7,664.6,837.0,2391.4,2012年
11608.1,3439.3,7060.0,3043.9,3681.6,5245.5,2996.3,2870.4,10366.1,17121.0,11936.1,5253.2,6027.4,3152.5,12778.1,7354.4,6435.5,6466.4,20827.6,3447.6,970.1,3791.7,6556.7,2095.5,3377.3,293.1,3827.0,1560.8,567.4,686.9,1880.1,2011年
10047.7,2781.3,6020.7,2613.0,3253.4,4979.1,2491.1,2409.0,9445.3,13660.9,9816.7,4563.4,5180.2,2685.2,10544.9,6190.8,5439.3,5482.3,18079.0,2972.1,739.8,3053.4,5377.0,1750.6,2919.3,255.1,3228.7,1376.6,468.7,553.2,1686.1,2010年
9175.1,2406.1,5261.8,2460.5,2784.4,4648.9,2183.2,2125.4,8212.1,11906.2,8698.6,4010.1,4448.7,2400.9,9318.5,5446.7,4715.2,4675.6,16264.0,2567.2,638.5,2692.7,4850.8,1544.2,2538.6,229.8,2794.2,1250.5,443.0,468.2,1503.8,2009年
7912.8,1927.3,4566.4,2029.8,2281.7,4154.7,1847.5,1850.9,7101.8,9775.4,7547.9,3453.5,3852.6,1958.7,7737.6,4763.8,3991.1,3854.2,14056.6,2185.9,528.4,2064.0,3987.8,1229.7,2170.4,196.6,2255.2,1055.1,363.2,362.7,1318.3,2008年
6227.7,1600.3,3869.3,1657.9,1804.5,3421.1,1489.1,1599.9,5578.2,7781.4,6093.9,2836.1,3010.1,1584.1,6301.1,3791.9,3135.5,3156.2,11308.5,1788.8,425.1,1647.2,3222.6,944.0,1712.0,162.2,1858.4,900.6,291.2,284.6,1045.1,2007年
